LocationID,ZipCode
1,7114
2,11430
3,10469
4,10009
5,10309
6,10305
7,11101
8,11105
9,11358
10,11434
11,11214
12,10280
13,10280
14,11209
15,11359
16,11361
17,10506
18,10458
19,11426
20,14813
21,11206
22,11207
23,10314
24,12913
25,11201
26,11212
27,11697
28,11435
29,11235
30,11693
31,10453
32,10462
33,11201
34,11251
35,11212
36,11221
37,11237
38,11411
39,11234
40,11231
41,10026
42,10027
43,10019
44,10309
45,10013
46,10464
47,10457
48,10001
49,11205
50,10002
51,10475
52,11201
53,11356
54,11231
55,11224
56,11368
57,11368
58,10465
59,10457
60,10459
61,11238
62,11205
63,11208
64,11363
65,11201
66,11201
67,11228
68,10019
69,10451
70,11369
71,11203
72,11236
73,11355
74,10035
75,10029
76,10003
77,11207
78,10457
79,10211
80,11211
81,10466
82,11373
83,11378
84,10308
85,11226
86,11691
87,10005
88,10006
89,11226
90,10010
91,11239
92,11355
93,11368
94,10468
95,11375
96,11385
97,11205
98,11365
99,10312
100,10018
101,11004
102,11385
103,10012
104,10012
105,10012
106,11215
107,10016
108,11223
109,10308
110,10306
111,11232
112,11222
113,10012
114,10013
115,10301
116,10031
117,11692
118,10314
119,10452
120,10034
121,11366
122,11423
123,11229
124,11414
125,10006
126,10474
127,10034
128,10031
129,11372
130,11412
131,11423
132,11430
133,11218
134,11415
135,11367
136,10468
137,10016
138,11371
139,11413
140,10021
141,10065
142,10023
143,10024
144,10013
145,11101
146,11101
147,10459
148,10009
149,11201
150,11235
151,10025
152,10027
153,10463
154,11234
155,11234
156,10303
157,11378
158,10014
159,10456
160,11379
161,10018
162,10022
163,10018
164,10017
165,11230
166,10027
167,10456
168,10451
169,10453
170,10010
171,11354
172,10306
173,11368
174,10467
175,11364
176,10306
177,11233
178,11230
179,11103
180,11416
181,11215
182,10462
183,10461
184,10461
185,10461
186,10016
187,10302
188,11225
189,11238
190,11215
191,11427
192,11355
193,11101
194,10035
195,11231
196,11374
197,11418
198,11385
199,11370
200,10471
201,11694
202,10044
203,11422
204,10309
205,11412
206,11378
207,11370
208,10469
209,10013
210,11235
211,10013
212,10472
213,10472
214,10305
215,11435
216,11420
217,11221
218,11413
219,11413
220,10463
221,10304
222,11239
223,11105
224,10009
225,11205
226,11104
227,11211
228,11232
229,10022
230,10036
231,10007
232,10002
233,10022
234,10003
235,10453
236,10021
237,10028
238,10044
239,10065
240,10463
241,10463
242,10461
243,10032
244,10034
245,10310
246,10036
247,10451
248,10460
249,10014
250,10462
251,10314
252,11357
253,11357
254,10467
255,10467
256,10467
257,11215
258,11421
259,10470
260,11377
261,10048
262,10028
263,10028
264,
265,
